ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
1775248291.733287,0.0,24.41,0.0101,1.3124,OFF,ON,1775248231.1395376,1.84810925,1.31214881
1775248292.6599815,0.0,24.4,0.01007,1.3124,OFF,ON,1775248231.6932275,1.81636953,1.31236434
1775248293.279659,0.0,24.39,0.01007,1.3124,OFF,ON,1775248232.1587229,1.77830875,1.31296325
1775248294.214199,0.0,24.38,0.01005,1.3124,OFF,ON,1775248232.7135112,1.74847114,1.31219423
1775248294.8373454,0.0,24.38,0.01005,1.3124,OFF,ON,1775248233.177812,1.71622348,1.31247342
1775248295.7661653,0.0,24.38,0.01005,1.3124,OFF,ON,1775248233.7308311,1.70218146,1.3128531
,,,,,,,1775248234.1965194,1.68934679,1.31278956
,,,,,,,1775248234.749884,1.68031287,1.31232488
,,,,,,,1775248235.215186,1.67174959,1.31253564
,,,,,,,1775248235.7674122,1.66607916,1.31218588
,,,,,,,1775248236.231726,1.66278398,1.31289744
,,,,,,,1775248236.7844672,1.65772557,1.31267226
,,,,,,,1775248237.2480192,1.65518618,1.31266379
,,,,,,,1775248237.802088,1.65319657,1.31294048
,,,,,,,1775248238.2670383,1.6512394,1.31251168
,,,,,,,1775248238.8200862,1.65160346,1.31294656
,,,,,,,1775248239.2848244,1.65324807,1.31228411
,,,,,,,1775248239.838751,1.65450096,1.31205773
,,,,,,,1775248240.3029115,1.65581858,1.31215119
,,,,,,,1775248240.8569112,1.65496695,1.31223738
,,,,,,,1775248241.3206644,1.65894258,1.31216192
,,,,,,,1775248241.8738391,1.66148067,1.31247342
,,,,,,,1775248242.338602,1.66393268,1.31235957
,,,,,,,1775248242.891628,1.66495562,1.31271768
,,,,,,,1775248243.356739,1.65401351,1.31266975
,,,,,,,1775248243.9127078,1.61921811,1.31088746
,,,,,,,1775248244.377135,1.72299588,1.31280637
,,,,,,,1775248244.9314768,1.71203589,1.31287825
,,,,,,,1775248245.397166,1.71045589,1.3123033
,,,,,,,1775248245.951003,1.6858815,1.31262672
,,,,,,,1775248246.414382,1.59116518,1.31249249
,,,,,,,1775248246.967938,1.59705842,1.31215
,,,,,,,1775248247.4323528,1.59848142,1.3127656
,,,,,,,1775248247.985409,1.60193956,1.31280637
,,,,,,,1775248248.449906,1.6067344,1.31292975
,,,,,,,1775248249.0012224,1.60838616,1.31209731
,,,,,,,1775248249.4667263,1.6144855,1.31186128
,,,,,,,1775248250.0188248,1.61922526,1.31216192
,,,,,,,1775248250.4827328,1.62816572,1.31219542
,,,,,,,1775248251.0351074,1.63520181,1.31268299
,,,,,,,1775248251.4996288,1.64397454,1.31265903
,,,,,,,1775248252.0531542,1.65117228,1.3122865
,,,,,,,1775248252.517532,1.65867662,1.31231165
,,,,,,,1775248253.0717518,1.6639303,1.3124578
,,,,,,,1775248253.536837,1.67171013,1.31241226
,,,,,,,1775248254.0901425,1.67694211,1.31271768
,,,,,,,1775248254.5534146,1.68618453,1.31214035
,,,,,,,1775248255.10613,1.69042242,1.31199181
,,,,,,,1775248255.5707345,1.6977638,1.31206369
,,,,,,,1775248256.124657,1.70004213,1.31200862
,,,,,,,1775248256.5896957,1.70321512,1.31263387
,,,,,,,1775248257.142852,1.70281863,1.31274164
,,,,,,,1775248257.608515,1.70302224,1.31289744
,,,,,,,1775248258.1649208,1.70327985,1.31256318
,,,,,,,1775248258.6274185,1.6509136,1.31452644
,,,,,,,1775248259.1795125,1.57530606,1.31195474
,,,,,,,1775248259.6457083,1.65596712,1.31238234
,,,,,,,1775248260.1979568,1.17668974,1.31076527
,,,,,,,1775248260.6625288,1.61098301,1.31279433
,,,,,,,1775248261.2172513,1.61920249,1.31231761
,,,,,,,1775248261.681327,1.59446275,1.31199789
,,,,,,,1775248262.2335682,1.57866347,1.31223142
,,,,,,,1775248262.6970873,1.56316853,1.31277764
,,,,,,,1775248263.250721,1.54667449,1.31254399
,,,,,,,1775248263.7149208,1.51586783,1.31270695
,,,,,,,1775248264.2669914,1.46009624,1.31216192
,,,,,,,1775248264.7306,1.36306202,1.31203616
,,,,,,,1775248265.2834392,1.30045211,1.31275606
,,,,,,,1775248265.747769,1.26219487,1.31212842
,,,,,,,1775248266.299866,1.24217939,1.3125428
,,,,,,,1775248266.7639298,1.22658372,1.31253326
,,,,,,,1775248267.3166902,1.21527636,1.31274772
,,,,,,,1775248267.780856,1.20558238,1.31202304
,,,,,,,1775248268.3336887,1.19841468,1.3123703
,,,,,,,1775248268.798509,1.19261956,1.3122853
,,,,,,,1775248269.3515944,1.18780077,1.31264102
,,,,,,,1775248269.8155894,1.18454266,1.3119272
,,,,,,,1775248270.368744,1.17777145,1.31231761
,,,,,,,1775248270.833982,1.17609692,1.31224704
,,,,,,,1775248271.38843,1.17452657,1.31193078
,,,,,,,1775248271.8528202,1.17442715,1.31197274
,,,,,,,1775248272.4041245,1.17454576,1.31277645
